Influenza-like illness (ICD9 487) first (F) and new (N) episodes,,,,,,,,,,
"Weekly incidence rates per 100,000 ",,,,,,,,,,
,,,,,,,,,,
Year,Week,Total,<1,1-4,5-14,15-24,25-44,45-64,65-74,75+
1995,1,73.91,27.39,72.79,34.46,93.5,91.21,71.02,63.7,66.15
,2,94.97,54.73,50.3,75.7,156.26,113.38,94.39,35.29,51.92
,3,101.28,0,95.1,144.69,122.8,109.51,94.38,49.44,47.16
,4,101.06,27.96,183.65,160.52,105.75,105.45,81.84,50.5,29.01
,5,151.8,52,170.75,273.93,143.8,164.92,126.87,62.03,60.07
,6,157.19,226.05,208.36,219.92,177.53,192.41,115.61,58.22,48.41
,7,141.49,54.42,139.77,209.39,127.79,166.68,133.64,53.09,70.63
,8,109.36,80.36,155.31,119.75,135.55,141.61,76.54,32.09,66.51
,9,88.28,140.41,97.48,72.85,100.87,112.67,88.73,36.35,28.93
,10,56.5,0,57.41,49.59,59.83,76.06,52.35,46.39,10.32
,11,65.65,64.31,76.86,73.5,87.32,82.3,47.31,27.74,36.95
,12,58.05,28.85,116.25,68.65,54.01,67.32,49.05,22.29,34.8
,13,55.36,52.98,58.63,98.17,57.21,58.85,47.05,20.16,22.03
,14,47.39,29.33,70.51,63.55,41.84,59.64,39.5,18.1,19.03
,15,30.84,55.79,66.42,18.08,21.39,44.28,24.3,27.87,4.59
,16,26.13,0,32.74,6.66,37.18,32.26,24.81,20.44,26.37
,17,23.01,76.79,15.39,14.63,26.44,27.64,25.74,6.43,20.87
,18,35.24,25.08,60.26,38.83,54.01,39.16,31,3.15,12.2
,19,13.39,0,28.04,13.68,19.16,12.72,9.02,3.6,23.17
,20,22.83,0,32.61,19.8,32.18,30.62,18.16,10.03,4.26
,21,24.99,25.6,30.62,29.12,39.34,30.93,12.8,9.58,20.49
,22,21.32,49.3,14.75,10.04,44.75,22.44,18.38,6.34,24.64
,23,25.86,24.06,38.54,19.62,20.78,27.73,31.22,12.25,27.66
,24,17.84,24.76,34.79,18.14,19.08,18.11,13.72,25.03,4.03
,25,23.26,24.51,44.41,28.1,12.72,27.49,23.88,12.49,8.04
,26,20.25,48.51,9.82,19.94,31.64,27.24,15.84,6.21,3.99
,27,21.24,26.4,15.9,21.49,36.05,23.07,19.51,13.25,4.23
,28,22.49,25.04,45.36,34.91,28.13,24.61,15.24,6.4,4.1
,29,18.64,0,40.19,16.32,19.4,20.03,13.99,12.8,24.56
,30,16.13,0,30.65,12.31,19.39,17.72,9.35,25.93,12.46
,31,11.96,26.46,21.18,4.27,17.86,20.18,4.84,3.36,4.24
,32,14.94,74.2,9.98,10.03,25.25,20.77,9.12,9.43,0
,33,7.83,0,14.94,2,8.38,12.06,5.67,3.14,7.99
,34,9.31,0,0,4.07,21.34,7.89,10.44,9.62,8.12
,35,12.2,0,29.75,3.97,18.79,16.28,11.27,0,3.96
,36,13.69,26.96,21.46,4.29,22.52,18.46,9.64,6.73,8.45
,37,17.98,0,21.76,13.01,24.78,23.18,14.53,13.56,8.51
,38,25.78,26.76,10.67,21.31,33.38,39.25,21.57,10.09,4.22
,39,29.61,27.11,21.51,30.05,51.28,39.57,14.49,6.82,29.77
,40,36.86,26.29,26.15,39.55,41.28,47.47,29.29,16.38,36.87
,41,38.6,27.17,27.07,28.14,42.82,39.86,45.24,37.71,34.29
,42,46.91,52.33,46.65,52.14,67.95,53.25,37.93,19.6,32.78
,43,49.63,25.54,81.19,30.69,60.45,59.9,42.81,35.08,40.01
,44,55.38,103.04,46.11,49.8,87.26,60.56,52.12,33.09,20.67
,45,68.61,99.3,108.75,61.77,125,70.62,49.15,22.19,55.7
,46,110.6,130.68,162.03,148.76,149.21,111.34,87.86,60.54,54.87
,47,159.77,333.59,240.57,227.15,229.38,147.89,119.09,86.93,87.53
,48,212.4,391.03,429.09,270.02,247.95,194.02,198.36,109.12,89.08
,49,155.99,80.19,255.1,210.92,153.84,152.69,127.57,121.19,139.83
,50,171.64,108.84,287.13,201.22,211.01,175.46,126.59,133.7,141.67
,51,165.16,165.06,278.26,152.57,148.03,159.51,158.98,126.78,225.85
,52,105.71,208.71,131.3,25.16,119.36,116.23,124.99,102.12,92.81
1996,1,116.6,49.7,110.02,45.99,96.88,128.03,132.6,152.96,157.66
,2,102.15,0,82.01,57.86,70.62,114.23,119.41,111.03,153.43
,3,58.8,24.71,50.18,63.63,70.46,59.09,63.53,41.36,43.6
,4,29.41,24.01,29.09,25.09,35.42,30.51,35.4,24.81,7.73
,5,35.97,0,39.23,46.59,41.66,35.11,40.98,15.52,19.41
,6,29.88,0,65.2,22.29,53.95,30.87,21.12,14.8,22.12
,7,35.24,46.77,47.91,44.04,41.18,44.03,29.38,12.11,3.77
,8,29.56,0,56.32,29.9,32.12,45.36,16.98,8.94,3.72
,9,28.41,0,46.69,44.56,28.01,34.79,20.05,17.77,0
,10,25.76,23.65,49.52,25.52,25.29,29.88,24.33,12.37,11.52
,11,33.93,52.88,81.5,55.2,25.27,35.5,22.8,26.96,8.37
,12,39.4,26.5,43.36,59.25,36.71,44.79,28.93,30.89,25.71
,13,34.6,76.16,41.43,49,28.71,47.11,20.88,9.93,24.66
,14,24.53,0,49.41,32.6,16.4,25.41,25.25,7.17,22.21
,15,25.65,25.12,35.64,22.23,19.68,29.62,19.82,26.42,36.69
,16,27.53,47.15,33.71,5.76,28.96,38.71,29.74,9.31,23.05
,17,21.15,48.08,29.48,7.87,29.93,23.52,16.81,31.52,11.7
,18,19.34,0,54.2,13.68,23.21,17.68,20.23,15.82,7.86
,19,15.38,23.02,18.87,13.18,20.28,21.05,10.81,6.1,7.56
,20,17.05,47.87,19.64,19.52,27.31,17.74,15.79,6.39,0
,21,19.59,23.39,4.72,18.81,36.51,24.28,11.89,15.25,11.32
,22,15.22,0,14.69,5.87,16.8,21.02,12.45,22.23,7.86
,23,11.25,0,9.74,15.5,16.65,10.01,14.56,3.15,0
,24,7.78,24.78,4.97,9.89,6.42,8.47,4.5,12.64,7.85
,25,12.26,0,29.35,17.57,12.64,17.53,2.22,9.31,3.84
,26,13.27,0,24.46,13.65,18.97,9.18,15.5,15.52,3.84
,27,19.39,0,9.78,21.45,18.95,25.86,17.7,9.31,15.35
,28,18.44,51.1,41.7,14.35,19.82,23.18,12.99,3.32,16.28
,29,11.66,76.22,26.08,14.35,8.81,14.26,5.9,9.96,0
,30,9.65,23.27,9.46,3.76,12.13,16.17,7.54,3.05,0
,31,12.52,23.95,14.78,3.89,12.48,15.11,13.3,15.6,7.65
,32,14.18,0,14.91,11.92,21.36,7.69,24.15,9.78,8.04
,33,12.88,0,15.1,13.96,17.11,16.37,8,12.91,3.99
,34,12.95,23.12,33.29,17.03,18.31,15.44,5.43,3.07,3.79
,35,8.17,0,14.58,5.81,8.31,13.29,5.59,0,3.89
,36,8.78,0,4.9,3.91,21.01,10.08,7.92,0,7.93
,37,15.49,0,9.79,3.9,27.34,23.52,11.31,12.86,3.96
,38,20.75,0,9.97,11.93,32.06,31.57,16.13,13.08,4.04
,39,22.3,0,24.6,13.71,39.86,26.98,13.66,16.19,23.94
,40,23.43,0,9.56,7.56,46.66,32.62,17.35,12.33,18.91
,41,27.05,0,19.35,19.12,37.04,32.95,26.48,12.57,27.07
,42,23.85,0,14.82,9.79,33.66,33.7,18.2,22.69,19.88
